# folha, perimetro, media, variancia
0, 2096, 0.22474, 0.03747
1, 5443, 0.33888, 0.04163
2, 1467, 0.18916, 0.05641
3, 2677, 0.22033, 0.03922
4, 5221, 0.38206, 0.03941
5, 2626, 0.41794, 0.07299
6, 2233, 0.33812, 0.04127
7, 2259, 0.36142, 0.04320
8, 1466, 0.18530, 0.05602
9, 2009, 0.44838, 0.08141
10, 2241, 0.18627, 0.05629
11, 4209, 0.42717, 0.07682
12, 1668, 0.34783, 0.05813
13, 10819, 0.37327, 0.04282
14, 2285, 0.34079, 0.05771
15, 3293, 0.18467, 0.05537
16, 1312, 0.35508, 0.05822
17, 4277, 0.37467, 0.04228
18, 2697, 0.36470, 0.05534
19, 3034, 0.26659, 0.02756
20, 1668, 0.34411, 0.05784
21, 2451, 0.41553, 0.07356
22, 2902, 0.37488, 0.04254
23, 2337, 0.30313, 0.02778
24, 2305, 0.22764, 0.03652
25, 1778, 0.29133, 0.02758
26, 1521, 0.18725, 0.05664
27, 4170, 0.23415, 0.03423
28, 2740, 0.21896, 0.03785
29, 2950, 0.45272, 0.08415
30, 3616, 0.35372, 0.04188
31, 7142, 0.37216, 0.04238
